ID,dct:source,ms:resourceName,metadataRecordIdentifier,resourceCreator,ORCID,Creation date,licence,size/amount,categoryLabel,LCRsubclass,subject,language,landingPage,generalDocumentation,annotationSchema,dataFormat,sourceMetadataGeneration,META-SHARE property,ontology,externalResource,externalResource/comment,downloadLocation,distributionLocation/comment,accessLocation ,accessibleThroughQuery,accessibleThroughQuery/comment,comment,,
900,AnnoHub,Apertium Dictionary Serbo Croatian-Slovenian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Serbo-Croatian,Slovenian",,,OntoLex-lemon,,,,,,,,,,,,,,
901,AnnoHub,Apertium Dictionary Slovenian-Serbian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Serbian,Slovenian",,,OntoLex-lemon,,,,,,,,,,,,,,
902,AnnoHub,Apertium Dictionary Spanish-Aragonese,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Aragonese,Spanish",,,OntoLex-lemon,,,,,,,,,,,,,,
903,AnnoHub,Apertium Dictionary Spanish-Asturian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Spanish,Asturian",,,OntoLex-lemon,,,,,,,,,,,,,,
904,AnnoHub,Apertium Dictionary Spanish-Catalan,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Spanish,Catalan",,,OntoLex-lemon,,,,,,,,,,,,,,
905,AnnoHub,Apertium Dictionary Spanish-Galician,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Spanish,Galician",,,OntoLex-lemon,,,,,,,,,,,,,,
906,AnnoHub,Apertium Dictionary Spanish-Italian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Italian,Spanish",,,OntoLex-lemon,,,,,,,,,,,,,,
907,AnnoHub,Apertium Dictionary Spanish-Portuguese,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Portuguese,Spanish",,,OntoLex-lemon,,,,,,,,,,,,,,
908,AnnoHub,Apertium Dictionary Spanish-Romanian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Spanish,Romanian",,,OntoLex-lemon,,,,,,,,,,,,,,
909,AnnoHub,Apertium Dictionary Swedish-Danish,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Swedish,Danish",,,OntoLex-lemon,,,,,,,,,,,,,,
910,AnnoHub,Apertium Dictionary Swedish-Norwegian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Norwegian,Swedish",,,OntoLex-lemon,,,,,,,,,,,,,,
911,AnnoHub,Apertium Dictionary Urdu-Hindi,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Hindi,Urdu",,,OntoLex-lemon,,,,,,,,,,,,,,
912,AnnoHub,Apertium Dictionary Welsh-English,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Welsh,English",,,OntoLex-lemon,,,,,,,,,,,,,,
1177,LOD Cloud,Apertium RDF,apertium-rdf,,,,GPL,8842516,linguistics,lexicons and dictionaries,,Multilingual,,,,NA,,1190.0,N/A,N/A,N/A,http://linguistic.linkeddata.es/page/set/apertium,no,http://linguistic.linkeddata.es/apertium/sparql-editor/,yes,"This SPARQL is working properly, however it is the same for all apertium datasets. I am not able to query just one of them bacause I dodn't know their graph. So i was wondering how to query only one of them? ",This dataset can be downloaded form datahub,,
1178,LOD Cloud,Apertium RDF CA-IT,apertium-rdf-ca-it,,,,GPL,180851,linguistics,lexicons and dictionaries,,"Catalan,Italian",,,,rdf,,,N/A,N/A,N/A,"http://linguistic.linkeddata.es/data/id/apertium/lexiconIT
http://linguistic.linkeddata.es/data/id/apertium/lexiconCA
http://linguistic.linkeddata.es/data/id/apertium/tranSetCA-IT",yes,http://linguistic.linkeddata.es/sparql/,yes,"This SPARQL is working properly, however it is the same for all apertium datasets. I am not able to query just one of them bacause I dodn't know their graph. So i was wondering how to query only one of them? ",This dataset can be downloaded from datahub,,
1179,LOD Cloud,Apertium RDF EN-CA,apertium-rdf-en-ca,,,,GPL,759601,linguistics,lexicons and dictionaries,,"English,Catalan",,,,rdf,,,N/A,N/A,N/A,"http://linguistic.linkeddata.es/data/id/apertium/lexiconEN
http://linguistic.linkeddata.es/data/id/apertium/lexiconCA 
http://linguistic.linkeddata.es/data/id/apertium/tranSetEN-CA",yes,http://linguistic.linkeddata.es/sparql/,yes,"This SPARQL is working properly, however it is the same for all apertium datasets. I am not able to query just one of them bacause I dodn't know their graph. So i was wondering how to query only one of them? ",This dataset can be downloaded from datahub,,
1180,LOD Cloud,Apertium RDF EN-ES,apertium-rdf-en-es,,,,GPL,576322,linguistics,lexicons and dictionaries,,"English,Spanish",,,,rdf,,247.0,N/A,N/A,N/A,"http://linguistic.linkeddata.es/data/id/apertium/lexiconEN
http://linguistic.linkeddata.es/data/id/apertium/lexiconES
http://linguistic.linkeddata.es/data/id/apertium/tranSetEN-ES",yes,http://linguistic.linkeddata.es/sparql/,yes,"This SPARQL is working properly, however it is the same for all apertium datasets. I am not able to query just one of them bacause I dodn't know their graph. So i was wondering how to query only one of them? ",https://datahub.ckan.io/dataset/47e9d8cc-5da9-4c02-960e-c00abee2b0d9/resource/6fa03351-3311-422d-8fa5-4c9ed4eee13b/download/apertium-en-es-rdf.zip,,
1181,LOD Cloud,Apertium RDF EN-GL,apertium-rdf-en-gl,,,,GPL,425117,linguistics,lexicons and dictionaries,,"English,Galician",,,,rdf,,440.0,N/A,N/A,N/A,"http://linguistic.linkeddata.es/data/id/apertium/lexiconEN
http://linguistic.linkeddata.es/data/id/apertium/lexiconGL
http://linguistic.linkeddata.es/data/id/apertium/tranSetEN-GL",yes,http://linguistic.linkeddata.es/sparql/,yes,"This SPARQL is working properly, however it is the same for all apertium datasets. I am not able to query just one of them bacause I dodn't know their graph. So i was wondering how to query only one of them? ",http://linguistic.linkeddata.es/page/id/apertium/lexiconEN,,
1182,LOD Cloud,Apertium RDF EO-CA,apertium-rdf-eo-ca,,,,GPL,426301,linguistics,lexicons and dictionaries,,"Esperanto,Catalan",,,,rdf,,,N/A,N/A,N/A,"http://linguistic.linkeddata.es/data/id/apertium/lexiconEO
http://linguistic.linkeddata.es/data/id/apertium/lexiconCA 
http://linguistic.linkeddata.es/data/id/apertium/tranSetEO-CA",yes,http://linguistic.linkeddata.es/sparql/,yes,"This SPARQL is working properly, however it is the same for all apertium datasets. I am not able to query just one of them bacause I dodn't know their graph. So i was wondering how to query only one of them? ",This dataset can be downloaded from datahub,,
